Track name, Artist name, Album, Playlist name, Type, ISRC,,Date
The Jetset Life Is Gonna Kill You,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400662,,
The Ghost of You,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400661,,
I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400660,,
You Know What They Do to Guys Like Us in Prison,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400659,,
To the End,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400658,,
"Give 'Em Hell, Kid",My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400657,,
Helena,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400656,,
Desert Song,My Chemical Romance,Life on the Murder Scene,Favorite Songs,Favorite,USRE10600486,,
Oh Love,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200227,,
Rusty James,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200251,,
Sweet 16,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200250,,
Angel Blue,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200249,,
Troublemaker,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200248,,
Loss of Control,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200247,,
Fell for You,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200246,,
Kill the DJ,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200245,,
Let Yourself Go,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200244,,
Carpe Diem,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200243,,
Stay the Night,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200242,,
Nuclear Family,Green Day,¡UNO!,Favorite Songs,Favorite,USRE11200241,,
Nightlife,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200486,,
Lady Cobra,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200485,,
Ashley,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200483,,
Makeout Party,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200481,,
Wild One,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200480,,
Stop When the Red Lights Flash,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200478,,
See You Tonight,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200476,,
Wow! That's Loud,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200487,,
Baby Eyes,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200484,,
Stray Heart,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200482,,
Lazy Bones,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200479,,
Fuck Time,Green Day,¡DOS!,Favorite Songs,Favorite,USRE11200477,,
The Forgotten,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200498,,
99 Revolutions,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200541,,
Dirty Rotten Bastards,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200540,,
Walk Away,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200539,,
Amanda,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200538,,
A Little Boy Named Train,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200537,,
"Sex, Drugs & Violence",Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200536,,
X-Kid,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200535,,
Drama Queen,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200542,,
8th Avenue Serenade,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200534,,
Missing You,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200533,,
Brutal Love,Green Day,¡TRÉ!,Favorite Songs,Favorite,USRE11200532,,
See the Light,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900681,,
American Eulogy: Mass Hysteria / Modern World,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900680,,
21 Guns,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900679,,
The Static Age,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900678,,
Horseshoes and Handgrenades,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900677,,
Restless Heart Syndrome,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900676,,
¿Viva La Gloria? (Little Girl),Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900675,,
Murder City,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900674,,
Last of the American Girls,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900673,,
East Jesus Nowhere,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900671,,
Last Night on Earth,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900670,,
Christian's Inferno,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900669,,
Before the Lobotomy,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900668,,
¡Viva La Gloria!,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900667,,
Know Your Enemy,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900522,,
21st Century Breakdown,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900666,,
Song of the Century,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900665,,
Governator,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10400886,,
Shoplifter,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10400885,,
Too Much Too Soon,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10400887,,
Homecoming,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10400993,,
Extraordinary Girl / Letterbomb,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10401221,,
Give Me Novacaine / She's a Rebel,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10401220,,
Are We the Waiting / St. Jimmy,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10401219,,
Holiday / Boulevard of Broken Dreams,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10401218,,
Jesus of Suburbia,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10400983,,
American Idiot,Green Day,American Idiot (Deluxe),Favorite Songs,Favorite,USRE10400888,,
The Real You,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500219,,
The End Is Not the Answer,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500218,,
Car Crash,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500215,,
So What,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500214,,
Painkiller,Three Days Grace,Human,Favorite Songs,Favorite,USRC11400506,,
Human Race,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500210,,
One Too Many,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500217,,
Nothing's Fair In Love and War,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500216,,
I Am Machine,Three Days Grace,Human,Favorite Songs,Favorite,USRC11402105,,
Tell Me Why,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500213,,
Landmine,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500212,,
Fallen Angel,Three Days Grace,Human,Favorite Songs,Favorite,USRC11500211,,
Life Starts Now,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900551,,
Goin' Down,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900550,,
Without You,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900549,,
Bully,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900548,,
Someone Who Cares,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900547,,
Last to Know,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900546,,
No More,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900545,,
The Good Life,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900544,,
Lost in You,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900543,,
World so Cold,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900542,,
Break,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900480,,
Bitter Taste,Three Days Grace,Life Starts Now,Favorite Songs,Favorite,USJI10900541,,
Unbreakable Heart,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200921,,
Broken Glass,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200920,,
Expectations,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200919,,
Time That Remains,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200918,,
Give Me a Reason,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200917,,
Happiness,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200916,,
Give In To Me,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200915,,
Anonymous,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200913,,
Operate,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200912,,
Chalk Outline,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200825,,
Sign Of The Times,Three Days Grace,Transit Of Venus,Favorite Songs,Favorite,USRC11200910,,
Drown - Live Acoustic - Rolling Stone Original (EP),Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10401011,,
Are You Ready,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300127,,
I Hate Everything About You - Live Acoustic - Rolling Stone Original (EP),Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10401012,,
Overrated,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300126,,
Take Me Under,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300125,,
Wake Up,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300124,,
Drown,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300123,,
Born Like This,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300122,,
Now or Never,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300121,,
Let You Down,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300079,,
Scared,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300120,,
Home,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300078,,
I Hate Everything About You,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300075,,
Just Like You,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300077,,
Burn,Three Days Grace,Three Days Grace (Deluxe Version),Favorite Songs,Favorite,USJI10300076,,
Time of Dying,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600165,,
Over and Over,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600160,,
Let It Die,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600157,,
Get Out Alive,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600163,,
Animal I Have Become,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600117,,
Pain,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600159,,
One X,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600164,,
Gone Forever,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600158,,
Riot,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600162,,
On My Own,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600156,,
Never Too Late,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600166,,
It's All Over,Three Days Grace,One-X,Favorite Songs,Favorite,USJI10600161,,
The Lines (Low Gain Mix),Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1500098,,
Blitzkrieg Bop - Live,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1500095,,
Give It Up,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1500097,,
Finish Line,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1500096,,
Sick and Disgusting,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400190,,
Dead,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400189,,
Keep Your American Dream,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400188,,
Me In My Own Head,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400187,,
One More,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400186,,
I Have a Problem,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400185,,
Ignorance Is Bliss,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400184,,
Relapsing,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400183,,
In Between,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400182,,
Body Bag,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400181,,
Beaten in Lips,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400180,,
The Lines,Beartooth,Disgusting (Deluxe Edition),Favorite Songs,Favorite,USP6L1400179,,
Set Me on Fire,Beartooth,Sick,Favorite Songs,Favorite,USP6L1340090,,
Pick Your Poison,Beartooth,Sick,Favorite Songs,Favorite,USP6L1340091,,
Go Be the Voice,Beartooth,Sick,Favorite Songs,Favorite,USP6L1340088,,
I Have a Problem,Beartooth,Sick,Favorite Songs,Favorite,USP6L1340089,,
Beaten in Lips,Beartooth,Beaten in Lips,Favorite Songs,Favorite,USP6L1400180,,
King of Anything,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500118,,
Rock Is Dead,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500116,,
Find a Way,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500112,,
However You Want It Said,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500115,,
Always Dead,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500113,,
Censored,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500114,,
Sick of Me,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500117,,
Burnout,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500119,,
Fair Weather Friend,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500111,,
Loser,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500110,,
Hated,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500109,,
Aggressive,Beartooth,Aggressive,Favorite Songs,Favorite,USP6L1500108,,
Through the Fire and Flames,DragonForce,Inhuman Rampage,Favorite Songs,Favorite,GBAJE0508258,,
Heroes of Our Time,DragonForce,Ultra Beatdown,Favorite Songs,Favorite,FIUM70800825,,
Talk Dirty To Me,Poison,Double Dose: Ultimate Hits,Favorite Songs,Favorite,USCA20501327,,
I Don't Wanna Stop,Ozzy Osbourne,Black Rain - Tour Edition,Favorite Songs,Favorite,USSM10701376,,
Kill All Your Friends,My Chemical Romance,The Black Parade: The B-Sides,Favorite Songs,Favorite,USRE10603280,,
My Way Home Is Through You,My Chemical Romance,The Black Parade: The B-Sides,Favorite Songs,Favorite,USRE10603236,,
Heaven Help Us,My Chemical Romance,The Black Parade: The B-Sides,Favorite Songs,Favorite,USRE10602876,,
Boy Division,My Chemical Romance,Number One,Favorite Songs,Favorite,USRE11200305,,
Tomorrow's Money,My Chemical Romance,Number One,Favorite Songs,Favorite,USRE11200306,,
Gun.,My Chemical Romance,Number Two,Favorite Songs,Favorite,USRE11200398,,
The World Is Ugly,My Chemical Romance,Number Three,Favorite Songs,Favorite,USRE11200473,,
The Light Behind Your Eyes,My Chemical Romance,Number Three,Favorite Songs,Favorite,USRE11200474,,
Make Room!!!!,My Chemical Romance,Number Four,Favorite Songs,Favorite,USRE11200550,,
Surrender the Night,My Chemical Romance,Number Five,Favorite Songs,Favorite,USRE11200626,,
Kiss the Ring,My Chemical Romance,Number Four,Favorite Songs,Favorite,USRE11200549,,
Burn Bright,My Chemical Romance,Number Five,Favorite Songs,Favorite,USRE11200627,,
Waiting,Green Day,Warning,Favorite Songs,Favorite,USRE10000940,,
All by Myself,Green Day,Dookie,Favorite Songs,Favorite,USRE19900159,,
Miss Alissa,Eagles Of Death Metal,Peace Love Death Metal,Favorite Songs,Favorite,US4N80500094,,
Ordinary World,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600437,,
Forever Now,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600436,,
Troubled Times,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600435,,
Youngblood,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600433,,
Bouncing off the Wall,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600431,,
Outlaws,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600430,,
Say Goodbye,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600429,,
Revolution Radio,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600428,,
Bang Bang,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600427,,
Somewhere Now,Green Day,Revolution Radio,Favorite Songs,Favorite,USRE11600426,,
Peacemaker,Green Day,21st Century Breakdown,Favorite Songs,Favorite,USRE10900672,,
Hypnotise,The White Stripes,Elephant,Favorite Songs,Favorite,GBBKS0200618,,
Not Ready to Die - From Call of the Dead,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11100967,,
Carry On,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11202570,,
Paranoid,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10900017,,
Flash of the Blade,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10805524,,
Walk - Studio Version,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10702879,,
Shepherd of Fire,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11602078,,
Hail to the King,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11602077,,
So Far Away,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11001436,,
Welcome to the Family,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11001432,,
Nightmare,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB11001149,,
A Little Piece of Heaven,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10704000,,
Dear God,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10704001,,
Afterlife,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10703995,,
Almost Easy,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10703783,,
Critical Acclaim,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10703452,,
Seize the Day,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10501914,,
Beast and the Harlot,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10501909,,
Bat Country,Avenged Sevenfold,The Best of 2005-2013,Favorite Songs,Favorite,USWB10501912,,
Exist,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600822,,
Fermi Paradox,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600823,,
Roman Sky,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600827,,
Higher,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600825,,
Simulation,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600828,,
Angels,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600820,,
Creating God,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600821,,
God Damn,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600824,,
Sunny Disposition,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600829,,
Paradigm,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600826,,
The Stage,Avenged Sevenfold,The Stage,Favorite Songs,Favorite,USUG11600830,,
Afterlife Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500108,,
Andronikos Theme - 8-bit Version,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500112,,
Warrior Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500111,,
Wicked End Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500110,,
Heaven Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500109,,
Babylon Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500107,,
Bat Country Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500106,,
Unholy Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500105,,
Nightmare Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500104,,
Andronikos Theme,Avenged Sevenfold,Hail to the King: Deathbat (Original Video Game Soundtrack),Favorite Songs,Favorite,USWB11500103,,
Second Heartbeat - Live in Ventura,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423011,,
Unholy Confessions - Live in Ventura,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423010,,
Eternal Rest - Live in Pomona,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423009,,
Desecrate Through Reverence - Live in Pomona,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423008,,
Intro/Chapter Four - Live in Ventura,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423007,,
I Won't See You Tonight Part 2 - Demo,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423006,,
I Won't See You Tonight Part 1 - Demo,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423005,,
Remenissions - Demo,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423004,,
Chapter Four - Demo,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423003,,
Second Heartbeat - Alternate Version,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423002,,
Waking The Fallen: Resurrected,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR21423001,,
And All Things Will End,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR20323025,,
Clairvoyant Disease,Avenged Sevenfold,Waking The Fallen: Resurrected,Favorite Songs,Favorite,USHR20323024,,
